user_ID,Dominant_Topic_Keywords
user_12,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_120,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1200,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1201,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1202,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1203,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1204,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1205,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1206,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1207,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1208,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1209,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_121,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1210,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1211,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1212,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1213,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1214,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1215,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1216,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1217,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1218,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1219,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_122,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1220,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1221,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1222,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1223,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1224,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1225,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1226,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1227,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1228,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1229,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_123,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1230,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1231,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1232,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1233,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1234,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1235,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1236,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1237,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1238,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1239,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_124,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1240,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1241,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1242,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1243,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1244,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1245,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1246,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1247,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1248,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1249,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_125,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1250,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1251,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1252,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1253,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1254,"starting, im, project, short, right, tip, portfolio, essential, scientist, daysofdata"
user_1255,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1256,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1257,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1258,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1259,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_126,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1260,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1261,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1262,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1263,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1264,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1265,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1266,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1267,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1268,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1269,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_127,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1270,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1271,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1272,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1273,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1274,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1275,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1276,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1277,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1278,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1279,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_128,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1280,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1281,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1282,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1283,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1284,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1285,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1286,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1287,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1288,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1289,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_129,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1290,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1291,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1292,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1293,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1294,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1295,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1296,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1297,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1298,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1299,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_13,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_130,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1300,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1301,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1302,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1303,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1304,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1305,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1306,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1307,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1308,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1309,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_131,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1310,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1311,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1312,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1313,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1314,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1315,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1316,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1317,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1318,"job, get, project, sport, analytics, website, build, portfolio, professor, land"
user_1319,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_132,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1320,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1321,"beginner, kaggle, project, proven, walkthrough, titanic, quit, knn, ep, computer"
user_1322,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1323,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
user_1324,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1325,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1326,"master, degree, scientist, bootcamp, certificate, become, reason, huang, tina, wont"
user_1327,"project, scratch, part, learning, collection, analysis, building, exploratory, cleaning, learned"
user_1328,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_133,"scientist, different, life, explained, ep, knn, role, day, job, learn"
user_1330,"student, leaderboard, know, college, first, subscriber, youtube, ever, built, mastering"
user_1331,"learn, would, start, project, reviewing, episode, portfolio, changed, resume, github"
user_1332,"course, best, talking, nobody, free, portfolio, github, website, make, page"
user_1333,"python, scrape, module, twitter, twitterscraper, professor, krish, state, naik, discussion"
